NCT Number,Study Title,Study URL,Study Status,Brief Summary,Conditions,Interventions,Sponsor,Collaborators,Funder Type,Study Type,Locations
NCT05042258,"Using Dupilumab to Improve Circadian Function, Sleep and Pruritus in Children With Moderate/Severe Atopic Dermatitis",https://clinicaltrials.gov/study/NCT05042258,RECRUITING,"Single center, prospective, Open label study of sleep, pruritus and circadian function pre/post 12-weeks of dupilumab treatment in children 6-17 years old",Atopic Dermatitis|Sleep Disturbance,DRUG: Dupilumab,Northwestern University,Regeneron Pharmaceuticals,OTHER,INTERVENTIONAL,"Lurie Children's Hospital/Northwestern University, Chicago, Illinois, 60611, United States"
NCT04549792,An Open-Label and Long-Term Extension Study to Evaluate the Efficacy and Safety of Ustekinumab in the Treatment of Patients With Ichthyoses,https://clinicaltrials.gov/study/NCT04549792,COMPLETED,"The ichthyoses are a group of lifelong genetic disorders that share characteristics of generalized skin thickening, scaling and underlying cutaneous inflammation. The vast majority are orphan disorders and are associated with extremely poor quality of life related to social ostracism from altered appearance, associated itchiness and discomfort, and functional limitations from the skin disease. Among the more common ""orphan"" forms of ichthyosis are autosomal recessive congenital ichthyosis (ARCI; includes lamellar ichthyosis/LI and congenital ichthyosiform erythroderma/CIE), Netherton syndrome (NS) and epidermolytic ichthyosis (EI). However, there are dozens of other syndromic and non-syndromic ichthyotic disorders as well. Therapy is time-consuming for patients or parents and is supportive, focusing on clearance of the scaling. There are no therapies based on our growing understanding of what causes the disease. We have recently found marked elevations in Th17/IL-23 pathway cytokines and chemokines in the skin of individuals with ichthyosis, most similar to the inflammatory pattern of psoriasis. While the significance of the high expression of Th17/IL-23 pathway genes across all forms of ichthyosis studied to date is unknown, the high expression of genes of the Th17/IL-23 pathway in psoriasis is thought to be causative for the disease manifestations. We propose that IL-12/IL-23 -targeting therapeutics will safely suppress the inflammation and possibly the other features of ichthyosis, improving quality of life. As a proof-of-concept study, we propose to treat children (6 years of age and higher) and adults with ichthyotic disorders with ustekinumab in an open-label trial to serially assess clinical response to and safety of ustekinumab for this group of disorders.",Ichthyosis,DRUG: Ustekinumab,Northwestern University,"Janssen Scientific Affairs, LLC",OTHER,INTERVENTIONAL,"Northwestern University/Lurie Children's Hospital, Chicago, Illinois, 60611, United States"
NCT06235125,Safety and Feasibility of Intraoperative Visualization With Cytalux in Children,https://clinicaltrials.gov/study/NCT06235125,RECRUITING,Pediatric subjects aged 6-17 with biopsy confirmed cancer and imaging findings suspicious for pulmonary metastatic disease scheduled to undergo pulmonary metastasectomy via and open or minimally invasive approach.,Osteosarcoma|Pulmonary Metastasis|Fluorescence|Metastatic Sarcoma|Pediatrics,DRUG: Cytalux,Ann & Robert H Lurie Children's Hospital of Chicago,"On Target Laboratories, LLC",OTHER,INTERVENTIONAL,"Ann & Robert H. Lurie Children's Hospital, Chicago, Illinois, 60611, United States"
NCT05419492,A Clinical Study to Evaluate the Safety and Efficacy of ETX101 in Infants and Children With SCN1A-Positive Dravet Syndrome,https://clinicaltrials.gov/study/NCT05419492,RECRUITING,"ENDEAVOR is a Phase 1/2, 2-part, multicenter study to evaluate the safety and efficacy of ETX101 in participants with SCN1A-positive Dravet syndrome aged ≥6 to \<36 months (Part 1) and aged ≥6 to \<48 months (Part 2). Part 1 follows an open-label, dose-escalation design, and Part 2 is a randomized, double-blind, sham delayed-treatment control, dose-selection study.",Dravet Syndrome,DRUG: ETX101,Encoded Therapeutics,,INDUSTRY,INTERVENTIONAL,"UCSF Benioff Children's Hospitals, San Francisco, California, 94158, United States|Ann & Robert H. Lurie Children's Hospital of Chicago, Chicago, Illinois, 60611, United States|Cook Children's Medical Center, Fort Worth, Texas, 76104, United States"
NCT04023084,Response of Children With Atopic Dermatitis (Eczema) to Eucrisa,https://clinicaltrials.gov/study/NCT04023084,COMPLETED,"The purpose of this study is to develop biomarkers to predict what medication is best for each child with atopic dermatitis (eczema). Participants will come in to Lurie Children's Allergy of Dermatology clinic for a skin examination and complete surveys. They will apply Eucrisa medication to their skin for 28 days before returning for a second and final skin examination and complete surveys. During these skin exams, tape will be placed on the skin and removed to collect skin cell samples. Photos will also be taken of the skin where tape was placed. There is an optional blood draw.",Atopic Dermatitis|Eczema,DRUG: Crisaborole,Ann & Robert H Lurie Children's Hospital of Chicago,Pfizer,OTHER,INTERVENTIONAL,"Ann & Robert H. Lurie Children's Hospital of Chicago, Chicago, Illinois, 60611, United States"
NCT04687020,Long-term Use of Viltolarsen in Boys With Duchenne Muscular Dystrophy in Clinical Practice (VILT-502),https://clinicaltrials.gov/study/NCT04687020,ACTIVE_NOT_RECRUITING,The VILT-502 study is Non-interventional Study(United States)/Low-intervention Clinical Trial (Canada) of Viltolarsen administered intravenously once weekly for 10 years to boys with DMD who complete the NS-065/NCNP-01-202 study.,Duchenne Muscular Dystrophy,DRUG: Viltolarsen,"NS Pharma, Inc.",,INDUSTRY,INTERVENTIONAL,"UC Davis, Sacramento, California, 95817, United States|Lurie Children's Hospital, Chicago, Illinois, 60611, United States|Duke University Medical Center, Durham, North Carolina, 27710, United States|Children's Hospital of Richmond at VCU, Richmond, Virginia, 23230, United States|Alberta Children's Hospital, Calgary, Alberta, T3B 6A8, Canada"
NCT00890786,A Study of Bevacizumab Therapy in Patients With Newly Diagnosed High-Grade Gliomas and Diffuse Intrinsic Pontine Gliomas,https://clinicaltrials.gov/study/NCT00890786,COMPLETED,"The outcome for children with high-grade gliomas and diffuse intrinsic brainstem gliomas remains poor despite the use of multi-modal therapy with surgery, radiation therapy and chemotherapy.",Newly Diagnosed High-Grade Gliomas|Diffuse Intrinsic Pontine Glioma,DRUG: Temozolomide|DRUG: Bevacizumab|DRUG: Irinotecan,"Children's Hospital Medical Center, Cincinnati","Genentech, Inc.",OTHER,INTERVENTIONAL,"Ann & Robert H. Lurie Children's Hospital of Chicago, Chicago, Illinois, 60614, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, 45229, United States"
NCT00179790,Reduced Intensity Transplant Using Extracorporeal Photopheresis,https://clinicaltrials.gov/study/NCT00179790,COMPLETED,"Stem cell transplantation may be used to cure childhood cancers, and other diseases. Traditionally, stem cell transplants use high doses of chemotherapy and radiation. This regimen may cause significant problems after transplant such as infertility, infection, and graft versus host disease (GVHD).

Reduced intensity transplant (RIT) uses medications which weaken the immune system, allowing donor cells to take over. The goal of a RIT is to reduce the risk for complications after transplant. Usually medication is used to weaken the immune system, but there are other options such as extracorporeal photopheresis (ECP) that may be less toxic.

ECP is currently used for the treatment of GVHD and certain lymphomas. ECP uses a machine that filters white blood cells from the blood, treats them with ultraviolet (UV) light, and then gives all the cells back to the patient. The patient's immune system becomes weaker, allowing the donor cells to replace those of the patient. Studies involving the use of ECP for conditioning have shown fewer side effects than the use of medications.

The primary purpose of this clinical research trial is to evaluate the safety and feasibility of ECP as part of a preparative regimen for RIT in children and young adults.",Leukemia|Cancer,PROCEDURE: Extracorporeal Photopheresis,Ann & Robert H Lurie Children's Hospital of Chicago,Mallinckrodt,OTHER,INTERVENTIONAL,"Ann & Robert H Lurie Children's Hospital of Chicago, Chicago, Illinois, 60625, United States"
NCT06689085,"52 Week Study of Safety, PK, & Efficacy of XYOSTED® for Testosterone Replacement in Male Adolescents With Hypogonadism",https://clinicaltrials.gov/study/NCT06689085,RECRUITING,"This is a 52-week open label single arm study to investigate the effects of XYOSTED, as testosterone replacement therapy, on adolescent males with either primary or secondary hypogonadism.

The study aims to determine the effectiveness of XYOSTED measured by continuation or induction of puberty in addition to XYOSTED dosage, safety and testosterone levels.","Hypogonadism, Male",COMBINATION_PRODUCT: Testosterone enanthate,Halozyme Therapeutics,,INDUSTRY,INTERVENTIONAL,"Children's Hospital Colorado, Aurora, Colorado, 80045, United States|Ann & Robert H. Lurie Children's Hospital of Chicago, Chicago, Illinois, 60611, United States|MedResearch, El Paso, Texas, 79902, United States|Seattle Children's Hospital, Seattle, Washington, 98105, United States|MultiCare Institute for Research & Innovation, Tacoma, Washington, 98405, United States"
NCT01744730,Safety and Pharmacokinetics of Clindamycin in Pediatric Subjects With BMI ≥ 85th Percentile,https://clinicaltrials.gov/study/NCT01744730,COMPLETED,The purpose of this study is to better understand how clindamycin works in children who fall in the 85th percentile or higher for body mass index (BMI - a ratio of weight to height). The results of the study will help better understand if children in higher BMI ranges process the medication differently and whether dosing should be adjusted in these children.,Bacterial Infections|Obesity,DRUG: Clindamycin,Phillip Brian Smith,"Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|The Emmes Company, LLC",OTHER,INTERVENTIONAL,"Ann and Robert H. Lurie Children's Hospital of Chicago, Chicago, Illinois, 60611, United States|Children's Mercy Hospital, Kansas City, Kansas, 64108, United States|University of Louisville, Louisville, Kentucky, 40202, United States|Akron Children's Hospital, Akron, Ohio, 48109, United States"
